Rebar 1 
 X,Y,Z
-0.9017,0.0154,0.3400
-0.9017,0.0163,0.3400
-0.9017,0.0172,0.3400
-0.9017,0.0180,0.3400
-0.9017,0.0189,0.3400
-0.9017,0.0198,0.3400
-0.9017,0.0206,0.3400
-0.9017,0.0215,0.3400
-0.9017,0.0224,0.3400
-0.9017,0.0232,0.3400
-0.9017,0.0241,0.3400
-0.9017,0.0250,0.3400
-0.9017,0.0258,0.3400
-0.9017,0.0267,0.3400
-0.9017,0.0276,0.3400
-0.9017,0.0284,0.3400
-0.9017,0.0293,0.3400
-0.9090,0.0302,0.3400
-0.9053,0.0302,0.3400
-0.9127,0.0310,0.3400
-0.9163,0.0319,0.3400
-0.9163,0.0328,0.3400
-0.9163,0.0336,0.3400
-0.9163,0.0345,0.3400
-0.9163,0.0354,0.3400
-0.9163,0.0362,0.3400
-0.9163,0.0371,0.3400
-0.9163,0.0380,0.3400
-0.9163,0.0388,0.3400
-0.9163,0.0397,0.3400
-0.9127,0.0406,0.3400
-0.9090,0.0414,0.3400
-0.9053,0.0423,0.3400
-0.9017,0.0432,0.3400
-0.8980,0.0440,0.3400
-0.8980,0.0449,0.3400
-0.8943,0.0457,0.3400
-0.8907,0.0466,0.3400
-0.8907,0.0475,0.3400
-0.8907,0.0483,0.3400
-0.8907,0.0492,0.3400
-0.8907,0.0501,0.3400
-0.8907,0.0509,0.3400
-0.8907,0.0518,0.3400
-0.8907,0.0527,0.3400
-0.8907,0.0535,0.3400
-0.8907,0.0544,0.3400
-0.8907,0.0553,0.3400
-0.8907,0.0561,0.3400
-0.8907,0.0570,0.3400
-0.8907,0.0579,0.3400
-0.8907,0.0587,0.3400
-0.8907,0.0596,0.3400
-0.8943,0.0605,0.3400
-0.8943,0.0613,0.3400
-0.8943,0.0622,0.3400
-0.8907,0.0631,0.3400
-0.8907,0.0639,0.3400
-0.8907,0.0648,0.3400
-0.8907,0.0657,0.3400
-0.8907,0.0665,0.3400
-0.8907,0.0674,0.3400
-0.8907,0.0683,0.3400
-0.8907,0.0691,0.3400
-0.8907,0.0700,0.3400
-0.8907,0.0709,0.3400
-0.8907,0.0717,0.3400
-0.8907,0.0726,0.3400
-0.8907,0.0734,0.3400
-0.8907,0.0743,0.3400
-0.8907,0.0752,0.3400
-0.8907,0.0760,0.3400
-0.8907,0.0769,0.3400
-0.8907,0.0778,0.3400
-0.8907,0.0786,0.3400
-0.8907,0.0795,0.3400
-0.8870,0.0804,0.3400
-0.8870,0.0812,0.3400
-0.8870,0.0821,0.3400
-0.8870,0.0830,0.3400
-0.8870,0.0838,0.3400
-0.8833,0.0847,0.3400
-0.8797,0.0856,0.3400
-0.8760,0.0864,0.3400
-0.8723,0.0873,0.3400
-0.8723,0.0882,0.3400
-0.8723,0.0890,0.3400
-0.8723,0.0899,0.3400
-0.8723,0.0908,0.3400
-0.8723,0.0916,0.3400
-0.8723,0.0925,0.3400
-0.8723,0.0934,0.3400
-0.8723,0.0942,0.3400
-0.8723,0.0951,0.3400
-0.8687,0.0960,0.3400
-0.8687,0.0968,0.3400
-0.8687,0.0977,0.3400
-0.8687,0.0986,0.3400
-0.8687,0.0994,0.3400
-0.8687,0.1003,0.3400
-0.8687,0.1012,0.3400
-0.8687,0.1020,0.3400
-0.8687,0.1029,0.3400
-0.8687,0.1037,0.3400
-0.8687,0.1046,0.3400
-0.8723,0.1055,0.3400
-0.8723,0.1063,0.3400
-0.8687,0.1072,0.3400
-0.8687,0.1081,0.3400
-0.8687,0.1089,0.3400
-0.8687,0.1098,0.3400
-0.8687,0.1107,0.3400
-0.8687,0.1115,0.3400
-0.8687,0.1124,0.3400
-0.8687,0.1133,0.3400
-0.8687,0.1141,0.3400
-0.8687,0.1150,0.3400
-0.8687,0.1159,0.3400
-0.8687,0.1167,0.3400
-0.8687,0.1176,0.3400
-0.8687,0.1185,0.3400
-0.8687,0.1193,0.3400
-0.8687,0.1202,0.3400
-0.8687,0.1211,0.3400
-0.8687,0.1219,0.3400
-0.8687,0.1228,0.3400
-0.8687,0.1237,0.3400
-0.8687,0.1245,0.3400
-0.8687,0.1254,0.3400
-0.8723,0.1263,0.3400
-0.8723,0.1271,0.3400
-0.8723,0.1280,0.3400
-0.8723,0.1289,0.3400
-0.8723,0.1297,0.3400
-0.8723,0.1306,0.3400
-0.8723,0.1314,0.3400
-0.8723,0.1323,0.3400
-0.8723,0.1332,0.3400
-0.8723,0.1340,0.3400
-0.8723,0.1349,0.3400
-0.8723,0.1358,0.3400
-0.8723,0.1366,0.3400
-0.8723,0.1375,0.3400
-0.8723,0.1384,0.3400
-0.8723,0.1392,0.3400
-0.8723,0.1401,0.3400
-0.8723,0.1410,0.3400
-0.8723,0.1418,0.3400
-0.8723,0.1427,0.3400
-0.8723,0.1436,0.3400
-0.8723,0.1444,0.3400
-0.8723,0.1453,0.3400
-0.8723,0.1462,0.3400
-0.8723,0.1470,0.3400
-0.8723,0.1479,0.3400
-0.8723,0.1488,0.3400
-0.8723,0.1496,0.3400
-0.8723,0.1505,0.3400
-0.8723,0.1514,0.3400
-0.8723,0.1522,0.3400
-0.8723,0.1531,0.3400
-0.8723,0.1540,0.3400
-0.8723,0.1548,0.3400
-0.8687,0.1557,0.3400
-0.8723,0.1566,0.3400
-0.8723,0.1574,0.3400
-0.8687,0.1583,0.3400
-0.8687,0.1591,0.3400
-0.8687,0.1600,0.3400
-0.8687,0.1609,0.3400
-0.8687,0.1617,0.3400
-0.8687,0.1626,0.3400
-0.8687,0.1635,0.3400
-0.8687,0.1643,0.3400
-0.8687,0.1652,0.3400
-0.8687,0.1661,0.3400
-0.8687,0.1669,0.3400
-0.8687,0.1678,0.3400
-0.8687,0.1687,0.3400
-0.8687,0.1695,0.3400
-0.8687,0.1704,0.3400
-0.8687,0.1713,0.3400
-0.8687,0.1721,0.3400
-0.8687,0.1730,0.3400
-0.8687,0.1739,0.3400
-0.8687,0.1747,0.3400
-0.8687,0.1756,0.3400
-0.8687,0.1765,0.3400
-0.8687,0.1773,0.3400
-0.8687,0.1782,0.3400
-0.8723,0.1791,0.3400
-0.8723,0.1799,0.3400
-0.8723,0.1808,0.3400
-0.8723,0.1817,0.3400
-0.8723,0.1825,0.3400
-0.8723,0.1834,0.3400
-0.8723,0.1843,0.3400
-0.8723,0.1851,0.3400
-0.8723,0.1860,0.3400
-0.8723,0.1869,0.3400
-0.8723,0.1877,0.3400
-0.8687,0.1886,0.3400
-0.8687,0.1894,0.3400
-0.8723,0.1903,0.3400
-0.8723,0.1912,0.3400
-0.8723,0.1920,0.3400
-0.8723,0.1929,0.3400
-0.8723,0.1938,0.3400
